Unfall_ID,Unfallschwere
15221,1
15222,1
15223,1
15224,1
15225,1
15226,1
15227,1
15228,1
15229,1
15230,1
15231,2
15232,1
15233,1
15234,1
15235,1
15236,1
15237,1
15238,1
15239,1
15240,1
15241,1
15242,2
15243,1
15244,1
15245,1
15246,1
15247,1
15248,1
15249,1
15250,1
15251,1
15252,1
15253,2
15254,1
15255,1
15256,1
15257,1
15258,1
15259,1
15260,1
15261,1
15262,1
15263,1
15264,1
15265,1
15266,1
15267,1
15268,1
15269,3
15270,1
15271,1
15272,1
15273,1
15274,1
15275,1
15276,1
15277,2
15278,1
15279,1
15280,2
15281,1
15282,1
15283,1
15284,1
15285,1
15286,1
15287,1
15288,1
15289,2
15290,1
15291,1
15292,1
15293,1
15294,1
15295,1
15296,1
15297,1
15298,3
15299,1
15300,1
15301,1
15302,1
15303,1
15304,1
15305,2
15306,1
15307,1
15308,1
15309,3
15310,1
15311,1
15312,1
15313,1
15314,1
15315,1
15316,1
15317,1
15318,1
15319,1
15320,1
15321,1
15322,1
15323,1
15324,1
15325,1
15326,1
15327,1
15328,1
15329,1
15330,2
15331,1
15332,1
15333,1
15334,1
15335,1
15336,1
15337,1
15338,1
15339,1
15340,1
15341,1
15342,1
15343,1
15344,1
15345,1
15346,2
15347,1
15348,1
15349,1
15350,1
15351,2
15352,1
15353,1
15354,1
15355,1
15356,2
15357,1
15358,1
15359,1
15360,1
15361,1
15362,1
15363,1
15364,2
15365,1
15366,1
15367,1
15368,1
15369,1
15370,1
15371,1
15372,1
15373,1
15374,1
15375,1
15376,1
15377,1
15378,1
15379,1
15380,1
15381,1
15382,1
15383,1
15384,1
15385,2
15386,1
15387,1
15388,2
15389,1
15390,2
15391,1
15392,2
15393,1
15394,1
15395,1
15396,1
15397,1
15398,2
15399,1
15400,1
15401,1
15402,2
15403,1
15404,1
15405,2
15406,1
15407,1
15408,1
15409,1
15410,1
15411,2
15412,1
15413,1
15414,1
15415,1
15416,1
15417,1
15418,1
15419,1
15420,1
15421,1
15422,1
15423,1
15424,1
15425,1
15426,2
15427,1
15428,1
15429,1
15430,1
15431,1
15432,2
15433,1
15434,1
15435,1
15436,1
15437,1
15438,1
15439,1
15440,1
15441,1
15442,2
15443,1
15444,1
15445,1
15446,1
15447,1
15448,1
15449,1
15450,1
15451,1
15452,2
15453,1
15454,1
15455,2
15456,1
15457,1
15458,1
15459,1
15460,1
15461,1
15462,1
15463,1
15464,1
15465,1
15466,1
15467,1
15468,1
15469,1
15470,1
15471,1
15472,1
15473,1
15474,1
15475,1
15476,2
15477,1
15478,1
15479,1
15480,3
15481,1
15482,1
15483,1
15484,1
15485,1
15486,1
15487,1
15488,1
15489,1
15490,1
15491,1
15492,1
15493,2
15494,1
15495,1
15496,1
15497,1
15498,1
15499,1
15500,1
15501,1
15502,1
15503,1
15504,1
15505,1
15506,1
15507,1
15508,1
15509,1
15510,1
15511,1
15512,1
15513,1
15514,1
15515,1
15516,1
15517,1
15518,1
15519,1
15520,1
15521,1
15522,1
15523,1
15524,1
15525,1
15526,1
15527,1
15528,1
15529,1
15530,1
15531,1
15532,1
15533,1
15534,1
15535,1
15536,1
15537,1
15538,1
15539,1
15540,1
15541,1
15542,1
15543,1
15544,2
15545,1
15546,1
15547,1
15548,2
15549,1
15550,3
15551,1
15552,1
15553,1
15554,1
15555,1
15556,1
15557,1
15558,1
15559,1
15560,1
15561,1
15562,1
15563,1
15564,1
15565,1
15566,1
